run_id,model_name,dataset,fraction,seed,regime,n,accuracy,mean_confidence,overconfidence_gap,ece,mce,n_bins
vit_b16_caltech256_f10_s1_linprobe,vit_b16,caltech256,10,1,linprobe,5952,0.7619287634408602,0.6485994034230844,-0.11332936001777583,0.11332936001777583,0.25772862890327114,15
vit_b16_caltech256_f10_s2_linprobe,vit_b16,caltech256,10,2,linprobe,5952,0.7683131720430108,0.6473530828524056,-0.12096008919060519,0.1209600891906052,0.27807047593048195,15
vit_b16_caltech256_f25_s0_linprobe,vit_b16,caltech256,25,0,linprobe,5952,0.8118279569892473,0.7470232916129653,-0.06480466537628193,0.06480466537628204,0.2312511147266656,15
vit_b16_caltech256_f25_s1_linprobe,vit_b16,caltech256,25,1,linprobe,5952,0.8138440860215054,0.7592105421667007,-0.05463354385480468,0.0549802729848682,0.17373141199350361,15
vit_b16_caltech256_f25_s2_linprobe,vit_b16,caltech256,25,2,linprobe,5952,0.8153561827956989,0.7581104728316899,-0.05724570996400902,0.05724570996400913,0.18963645488926859,15
vit_b16_caltech256_f50_s0_linprobe,vit_b16,caltech256,50,0,linprobe,5952,0.839885752688172,0.8008703921980385,-0.039015360490133544,0.03911580474513977,0.15260594422945717,15
vit_b16_caltech256_f50_s1_linprobe,vit_b16,caltech256,50,1,linprobe,5952,0.8397177419354839,0.8128961602079442,-0.02682158172753968,0.026879156528476392,0.12744139134883886,15
vit_b16_caltech256_f50_s2_linprobe,vit_b16,caltech256,50,2,linprobe,5952,0.8343413978494624,0.8112915166214318,-0.023049881228030533,0.023068775811548092,0.11530351693644841,15
vit_b16_caltech256_f100_s0_linprobe,vit_b16,caltech256,100,0,linprobe,5952,0.8581989247311828,0.8311908049070807,-0.027008119824102006,0.027008119824102058,0.21253391577208297,15
vit_b16_caltech256_f100_s1_linprobe,vit_b16,caltech256,100,1,linprobe,5952,0.8600470430107527,0.8357497881997817,-0.024297254810971003,0.024916289724730055,0.12834533741397242,15
vit_b16_caltech256_f100_s2_linprobe,vit_b16,caltech256,100,2,linprobe,5952,0.8568548387096774,0.8231621367915694,-0.033692701918108026,0.034102399384738094,0.1724275418047635,15
