run_id,model_name,dataset,fraction,seed,regime,bin,bin_lo,bin_hi,count,accuracy,confidence,gap
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,4,0.26666666666666666,0.3333333333333333,58,0.1896551724137931,0.3014108980524129,0.1117557256386198
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,5,0.3333333333333333,0.4,68,0.3088235294117647,0.366241920958547,0.0574183915467823
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,6,0.4,0.4666666666666667,82,0.3048780487804878,0.4332891055723516,0.12841105679186382
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,7,0.4666666666666667,0.5333333333333333,114,0.37719298245614036,0.49914942211226415,0.1219564396561238
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,8,0.5333333333333333,0.6,111,0.5045045045045045,0.5705059176092749,0.06600141310477048
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,9,0.6,0.6666666666666666,92,0.4891304347826087,0.6321984730336977,0.143068038251089
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,10,0.6666666666666666,0.7333333333333333,134,0.5522388059701493,0.7012293280950234,0.14899052212487407
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,11,0.7333333333333333,0.8,145,0.6206896551724138,0.7654709466572466,0.14478129148483276
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,12,0.8,0.8666666666666667,166,0.7168674698795181,0.8348457551146128,0.11797828523509468
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,13,0.8666666666666667,0.9333333333333333,287,0.7909407665505227,0.9039209865111507,0.11298021996062801
resnet50_caltech256_f100_s2_fullft,resnet50,caltech256,100,2,fullft,14,0.9333333333333333,1.0,4644,0.9827734711455641,0.9932228630339658,0.01044939188840166
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,0,0.0,0.06666666666666667,1,0.0,0.06177010014653206,0.06177010014653206
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,1,0.06666666666666667,0.13333333333333333,10,0.1,0.11063215136528015,0.010632151365280146
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,2,0.13333333333333333,0.2,44,0.20454545454545456,0.16917199776931244,0.03537345677614212
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,3,0.2,0.26666666666666666,72,0.2916666666666667,0.2358894126696719,0.05577725399699479
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,4,0.26666666666666666,0.3333333333333333,99,0.26262626262626265,0.3019116520881653,0.03928538946190263
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,5,0.3333333333333333,0.4,127,0.3543307086614173,0.3678474970689909,0.013516788407573588
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,6,0.4,0.4666666666666667,142,0.4295774647887324,0.4350271159914178,0.005449651202685424
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,7,0.4666666666666667,0.5333333333333333,156,0.4935897435897436,0.5001123111981612,0.006522567608417629
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,8,0.5333333333333333,0.6,141,0.5602836879432624,0.568504753687703,0.008221065744440592
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,9,0.6,0.6666666666666666,157,0.6942675159235668,0.6330630767876935,0.06120443913587337
resnet50_caltech256_f100_s2_linprobe,resnet50,caltech256,100,2,linprobe,10,0.6666666666666666,0.7333333333333333,159,0.6855345911949685,0.7014585572218744,0.015923966026905934
